Timestamp,accel radians per second per second,predicted accel radians per second per second,velocity radians per second,applied_voltage volts,residual radians per second per second,raw velocity radians per second
7.687000,6.462523,2.789019,0.216675,11.934000,3.673505,0.225527
7.699000,6.325133,2.764553,0.294349,11.934000,3.560580,0.270633
7.710000,6.131668,2.739618,0.364668,11.921000,3.392050,0.360843
7.721000,6.016621,2.711808,0.431867,11.890000,3.304814,0.451054
7.734000,5.934117,2.700421,0.509529,11.951000,3.233695,0.541265
7.746000,5.880085,2.651885,0.580602,11.829000,3.228200,0.586370
7.758000,5.829818,2.658725,0.651437,11.965000,3.171092,0.631476
7.769000,5.773742,2.629868,0.715835,11.925000,3.143874,0.721687
7.781000,5.718473,2.611508,0.786375,11.943000,3.106966,0.721687
7.792000,5.615217,2.606611,0.846156,12.008000,3.008607,0.857003
7.803000,5.549883,2.592676,0.908090,12.034000,2.957207,0.947214
7.813000,5.479503,2.557914,0.961972,11.951000,2.921589,0.947214
7.825000,5.404060,2.550896,1.026448,12.013000,2.853164,1.082530
7.836000,5.339988,2.545187,1.086084,12.074000,2.794801,1.082530
7.847000,5.273302,2.518765,1.142751,12.034000,2.754538,1.127636
7.859000,5.206841,2.506079,1.204121,12.065000,2.700762,1.172741
7.870000,5.150943,2.499973,1.259577,12.118000,2.650971,1.262952
7.882000,5.088081,2.493600,1.321320,12.179000,2.594481,1.353163
7.895000,5.020694,2.468201,1.386988,12.157000,2.552493,1.398268
7.908000,4.955853,2.437621,1.451412,12.109000,2.518232,1.443374
7.922000,4.877717,2.454046,1.521076,12.288000,2.423671,1.488479
7.935000,4.804931,2.423865,1.584234,12.240000,2.381066,1.578690
7.947000,4.729256,2.404261,1.640349,12.231000,2.324995,1.668901
7.958000,4.668703,2.405991,1.691340,12.314000,2.262712,1.714006
7.970000,4.601017,2.374038,1.748553,12.249000,2.226979,1.759111
7.983000,4.547461,2.356122,1.808157,12.253000,2.191340,1.804217
7.996000,4.488481,2.353759,1.866017,12.327000,2.134722,1.849322
8.007000,4.422727,2.332032,1.914583,12.297000,2.090696,1.894428
8.024000,4.352566,2.304299,1.987659,12.275000,2.048267,1.939533
8.037000,4.275604,2.298689,2.040858,12.327000,1.976915,2.074849
8.050000,4.220092,2.277793,2.095631,12.310000,1.942300,2.074849
8.064000,4.169306,2.280519,2.155028,12.410000,1.888787,2.165060
8.076000,4.118791,2.259779,2.203180,12.384000,1.859012,2.210166
8.094000,4.042059,2.234983,2.279184,12.380000,1.807076,2.255271
8.106000,3.985734,2.226242,2.327352,12.410000,1.759492,2.345482
8.116000,3.921604,2.218345,2.367396,12.432000,1.703259,2.390587
8.125000,3.879121,2.203142,2.400690,12.410000,1.675979,2.435693
8.135000,3.841789,2.195974,2.438420,12.432000,1.645815,2.435693
8.145000,3.796383,2.183435,2.478228,12.432000,1.612948,2.480798
8.154000,3.773367,2.183281,2.511383,12.480000,1.590086,2.525904
8.164000,3.728708,2.182966,2.548453,12.533000,1.545742,2.525904
8.174000,3.681847,2.173564,2.583747,12.541000,1.508284,2.571009
8.186000,3.638434,2.165890,2.626484,12.568000,1.472544,2.616114
8.196000,3.601391,2.160532,2.663912,12.598000,1.440859,2.661220
8.207000,3.548101,2.149303,2.705686,12.607000,1.398798,2.661220
8.217000,3.504750,2.120846,2.742273,12.528000,1.383904,2.751431
8.229000,3.454294,2.115149,2.784180,12.563000,1.339146,2.796536
8.240000,3.408700,2.108269,2.820991,12.585000,1.300431,2.796536
8.250000,3.369836,2.100929,2.853143,12.598000,1.268907,2.886747
8.261000,3.307414,2.095609,2.887726,12.624000,1.211804,2.886747
8.272000,3.280386,2.081332,2.924209,12.611000,1.199055,2.931852
8.284000,3.222421,2.071291,2.962213,12.620000,1.151130,2.976958
8.296000,3.181408,2.064888,3.000234,12.646000,1.116520,3.022063
8.307000,3.144731,2.051405,3.034195,12.633000,1.093326,3.022063
8.318000,3.102571,2.047968,3.066203,12.664000,1.054603,3.067169
8.330000,3.065878,2.033361,3.103732,12.651000,1.032517,3.067169
8.345000,3.025779,2.022541,3.149653,12.668000,1.003238,3.157380
8.357000,2.986280,2.015064,3.188363,12.690000,0.971216,3.202485
8.370000,2.948762,2.004217,3.225522,12.694000,0.944545,3.202485
8.382000,2.909747,2.000612,3.260785,12.729000,0.909134,3.292696
8.393000,2.883139,1.989770,3.292487,12.725000,0.893370,3.292696
8.404000,2.837292,1.981861,3.323722,12.734000,0.855431,3.337801
8.416000,2.795398,1.982586,3.356808,12.786000,0.812812,3.382907
8.429000,2.744201,1.976728,3.393098,12.812000,0.767473,3.382907
8.444000,2.694217,1.960287,3.433728,12.795000,0.733930,3.382907
8.454000,2.641427,1.958512,3.459779,12.825000,0.682915,3.428012
8.464000,2.623249,1.947879,3.484690,12.812000,0.675370,3.473118
8.475000,2.597618,1.936122,3.513172,12.799000,0.661496,3.518223
8.486000,2.564593,1.927833,3.539488,12.799000,0.636760,3.563328
8.496000,2.547914,1.922348,3.565747,12.812000,0.625565,3.563328
8.507000,2.520642,1.910252,3.592584,12.795000,0.610391,3.608434
8.517000,2.494845,1.905942,3.617834,12.812000,0.588902,3.608434
8.529000,2.462540,1.898077,3.648929,12.821000,0.564463,3.653539
8.545000,2.427150,1.892202,3.688680,12.852000,0.534948,3.698645
8.557000,2.386165,1.884715,3.717893,12.860000,0.501450,3.743750
8.570000,2.360571,1.879488,3.746740,12.878000,0.481084,3.743750
8.584000,2.315601,1.869951,3.777017,12.878000,0.445650,3.788855
8.604000,2.268780,1.854608,3.823007,12.874000,0.414172,3.788855
8.618000,2.244686,1.853992,3.854224,12.917000,0.390694,3.879066
8.630000,2.209601,1.852545,3.879916,12.948000,0.357056,3.879066
8.643000,2.187781,1.847896,3.909645,12.970000,0.339885,3.924172
8.656000,2.152387,1.839648,3.938556,12.974000,0.312739,3.924172
8.670000,2.124715,1.825339,3.969015,12.952000,0.299376,3.969277
8.683000,2.110351,1.811028,3.996754,12.926000,0.299323,3.969277
8.698000,2.077278,1.804896,4.027793,12.943000,0.272382,4.014383
8.711000,2.047899,1.798377,4.051893,12.948000,0.249522,4.014383
8.723000,2.018048,1.793055,4.074914,12.957000,0.224993,4.104593
8.735000,1.985705,1.788300,4.098858,12.970000,0.197406,4.104593
8.747000,1.950972,1.782231,4.123568,12.978000,0.168741,4.149699
8.760000,1.928460,1.774107,4.149363,12.978000,0.154353,4.149699
8.774000,1.893294,1.770330,4.176325,13.000000,0.122963,4.194804
8.786000,1.876289,1.761521,4.198849,12.992000,0.114768,4.194804
